PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Thomas-White, Krystal J.; Kliethermes, Stephanie; Rickey, Leslie; Lukacz, Emily S.; Richter, Holly E.; Moalli, Pamela; Zimmem, Philippe; Norton, Peggy; Kusek, John W.; Wolfe, Alan J.; Brubaker, Linda		Natl Inst Diabet Digestive Kidney						Evaluation of the urinary microbiota of women with uncomplicated stress urinary incontinence								AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY				216	1					55.e1-e16	10.1016/j.ajog.2016.07.049			JAN 2017	2017										11							WOS:000396381100014		
J	Frankova, Marketa; Sumberova, Katerina; Potuzak, Jan; Vild, Ondrej								The role of plant substrate type in shaping the composition and diversity of epiphytic diatom assemblages in a eutrophic reservoir								FUNDAMENTAL AND APPLIED LIMNOLOGY				189	2			117	135		10.1127/fal/2016/0936			JAN 2017	2017						10th Central European Diatom Meeting (CE-DiatoM)	APR 20-23, 2016	MTA Ctr Ecol Res; Hungarian Nat Hist Mus	Budapest, HUNGARY	1							WOS:000395223500004		
J	Enki, Doyo Gragn; Noufaily, Angela; Farrington, Paddy; Garthwaite, Paul; Andrews, Nick; Charlett, Andre								Taylor's power law and the statistical modelling of infectious disease surveillance data								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY				180	1			45	72		10.1111/rssa.12181			JAN 2017	2017										0							WOS:000397117600003		
J	Wisniowski, Arkadiusz								Combining Labour Force Survey data to estimate migration flows: the case of migration from Poland to the UK								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY				180	1			185	202		10.1111/rssa.12189			JAN 2017	2017										2							WOS:000397117600009		
J	Page, Garritt L.; San Martin, Ernesto; Orellana, Javiera; Gonzalez, Jorge								Exploring complete school effectiveness via quantile value added								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY				180	1			315	340		10.1111/rssa.12195			JAN 2017	2017										1							WOS:000397117600016		
J	Farzan, Shahla; Whitney, James A.; Yang, Louie H.								The Phenology and Spatial Distribution of Cavity-Nesting Hymenoptera and Their Parasitoids in a California Oak-Chaparral Landscape Mosaic								AMERICAN MIDLAND NATURALIST				177	1			84	99		10.1674/0003-0031-177.1.84			JAN 2017	2017										1							WOS:000395100200008		
J	Chen, Haoyuan; Matter, Stephen F.								Quantification of Changes in Light and Temperature Associated with Invasive Amur Honeysuckle (Lonicera maackii)								AMERICAN MIDLAND NATURALIST				177	1			143	152		10.1674/0003-0031-177.1.143			JAN 2017	2017										2							WOS:000395100200012		
J	Nam, Youn-Jeong; Herman, Dorota; Blomme, Jonas; Chae, Eunyoung; Kojima, Mikiko; Coppens, Frederik; Storme, Veronique; Van Daele, Twiggy; Dhondt, Stijn; Sakakibara, Hitoshi; Weigel, Detlef; Inze, Dirk; Gonzalez, Nathalie								Natural Variation of Molecular and Morphological Gibberellin Responses								PLANT PHYSIOLOGY				173	1			703	714		10.1104/pp.16.01626			JAN 2017	2017										2							WOS:000394135800051		
J	McNutt, David W.; Samuelson, Kathryn; Underwood, Nora								Pathways for plant-mediated negative feedback to insect herbivores: accounting for non-linear effects of larval density on plant quality and quantity								ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA				162	1			93	104		10.1111/eea.12515			JAN 2017	2017										1							WOS:000394783800012		
J	Clermont, Jeanne; Couchoux, Charline; Garant, Dany; Reale, Denis								Assessing anti-predator decisions of foraging eastern chipmunks under varying perceived risks: the effects of physical and social environments on vigilance								BEHAVIOUR				154	2			131	148		10.1163/1568539X-00003414			2017	2017										1							WOS:000394513600001		
J	Filatova, Olga A.; Ivkovich, Tatiana V.; Guzeev, Mikhail A.; Burdin, Alexandr M.; Hoyt, Erich								Social complexity and cultural transmission of dialects in killer whales								BEHAVIOUR				154	2			171	194		10.1163/1568539X-00003417			2017	2017										0							WOS:000394513600004		
J	Dabernig, Markus; Mayr, Georg J.; Messner, Jakob W.; Zeileis, Achim								Spatial ensemble post-processing with standardized anomalies								QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY				143	703			909	916		10.1002/qj.2975			JAN 2017	2017										3							WOS:000396560600025		
